started_at,finished_at,seconds,memory
2013-12-26 20:06:12 -0600,2013-12-26 20:06:41 -0600,28.862939,186292
2013-12-26 20:06:41 -0600,2013-12-26 20:07:11 -0600,29.474601,197664
2013-12-26 20:07:11 -0600,2013-12-26 20:07:44 -0600,33.659003,199324
2013-12-26 20:07:44 -0600,2013-12-26 20:08:15 -0600,30.95957,202464
2013-12-26 20:08:15 -0600,2013-12-26 20:08:43 -0600,28.047548,204436
2013-12-26 20:08:43 -0600,2013-12-26 20:09:14 -0600,31.066448,207372
2013-12-26 20:09:14 -0600,2013-12-26 20:09:45 -0600,30.727539,203376
2013-12-26 20:09:45 -0600,2013-12-26 20:10:18 -0600,32.982324,221492
2013-12-26 20:10:18 -0600,2013-12-26 20:10:52 -0600,34.335959,216116
2013-12-26 20:10:52 -0600,2013-12-26 20:11:22 -0600,29.393316,217092
2013-12-26 20:11:22 -0600,2013-12-26 20:11:50 -0600,28.350298,216104
2013-12-26 20:11:50 -0600,2013-12-26 20:12:23 -0600,32.907363,216252
2013-12-26 20:12:23 -0600,2013-12-26 20:12:52 -0600,28.428244,216428
2013-12-26 20:12:52 -0600,2013-12-26 20:13:20 -0600,28.065289,216472
2013-12-26 20:13:20 -0600,2013-12-26 20:13:48 -0600,28.301686,217560
2013-12-26 20:13:48 -0600,2013-12-26 20:14:16 -0600,28.515615,209196
2013-12-26 20:14:16 -0600,2013-12-26 20:14:44 -0600,27.224289,209540
2013-12-26 20:14:44 -0600,2013-12-26 20:15:11 -0600,27.449349,209908
2013-12-26 20:15:11 -0600,2013-12-26 20:15:38 -0600,27.180376,211736
2013-12-26 20:15:38 -0600,2013-12-26 20:16:06 -0600,27.546431,214012
2013-12-26 20:16:06 -0600,2013-12-26 20:16:33 -0600,26.991794,217296
2013-12-26 20:16:33 -0600,2013-12-26 20:17:01 -0600,27.713663,219596
2013-12-26 20:17:01 -0600,2013-12-26 20:17:27 -0600,26.414085,219376
2013-12-26 20:17:27 -0600,2013-12-26 20:17:54 -0600,27.087491,219900
2013-12-26 20:17:54 -0600,2013-12-26 20:18:20 -0600,26.087428,220484
2013-12-26 20:18:20 -0600,2013-12-26 20:18:47 -0600,27.171139,220684
2013-12-26 20:18:47 -0600,2013-12-26 20:19:15 -0600,27.479821,222144
2013-12-26 20:19:15 -0600,2013-12-26 20:19:41 -0600,26.623753,214884
2013-12-26 20:19:41 -0600,2013-12-26 20:20:08 -0600,26.845576,215788
2013-12-26 20:20:08 -0600,2013-12-26 20:20:35 -0600,26.949447,216680
2013-12-26 20:20:35 -0600,2013-12-26 20:21:02 -0600,26.610479,213620
2013-12-26 20:21:02 -0600,2013-12-26 20:21:29 -0600,27.095389,216956
2013-12-26 20:21:29 -0600,2013-12-26 20:21:56 -0600,26.830045,220684
2013-12-26 20:21:56 -0600,2013-12-26 20:22:23 -0600,26.6738,214272
2013-12-26 20:22:23 -0600,2013-12-26 20:22:50 -0600,27.214956,220708
2013-12-26 20:22:50 -0600,2013-12-26 20:23:16 -0600,26.676459,224488
2013-12-26 20:23:16 -0600,2013-12-26 20:23:42 -0600,25.854755,213872
2013-12-26 20:23:42 -0600,2013-12-26 20:24:09 -0600,26.860753,216676
2013-12-26 20:24:09 -0600,2013-12-26 20:24:36 -0600,26.98185,223564
2013-12-26 20:24:36 -0600,2013-12-26 20:25:02 -0600,25.885668,217028
2013-12-26 20:25:02 -0600,2013-12-26 20:25:29 -0600,26.929333,223012
2013-12-26 20:25:29 -0600,2013-12-26 20:25:59 -0600,29.884825,217324
2013-12-26 20:25:59 -0600,2013-12-26 20:26:26 -0600,26.751224,218272
2013-12-26 20:26:26 -0600,2013-12-26 20:26:53 -0600,27.081566,223664
2013-12-26 20:26:53 -0600,2013-12-26 20:27:20 -0600,27.422569,218816
2013-12-26 20:27:20 -0600,2013-12-26 20:27:47 -0600,26.408277,217924
2013-12-26 20:27:47 -0600,2013-12-26 20:28:14 -0600,27.374152,221064
2013-12-26 20:28:14 -0600,2013-12-26 20:28:41 -0600,27.138636,223680
2013-12-26 20:28:41 -0600,2013-12-26 20:29:08 -0600,26.495505,227176
2013-12-26 20:29:08 -0600,2013-12-26 20:29:35 -0600,27.07342,228268
2013-12-26 20:29:35 -0600,2013-12-26 20:30:02 -0600,27.295053,229524
2013-12-26 20:30:02 -0600,2013-12-26 20:30:28 -0600,26.313291,222596
2013-12-26 20:30:28 -0600,2013-12-26 20:30:55 -0600,27.198841,222208
2013-12-26 20:30:55 -0600,2013-12-26 20:31:23 -0600,27.221397,225700
2013-12-26 20:31:23 -0600,2013-12-26 20:31:49 -0600,26.432854,229568
2013-12-26 20:31:49 -0600,2013-12-26 20:32:16 -0600,27.239477,229960
2013-12-26 20:32:16 -0600,2013-12-26 20:32:43 -0600,26.450359,231044
2013-12-26 20:32:43 -0600,2013-12-26 20:33:10 -0600,26.708779,232100
2013-12-26 20:33:10 -0600,2013-12-26 20:33:37 -0600,26.983474,223916
2013-12-26 20:33:37 -0600,2013-12-26 20:34:02 -0600,25.814353,223916
2013-12-26 20:34:02 -0600,2013-12-26 20:34:30 -0600,27.175705,225716
2013-12-26 20:34:30 -0600,2013-12-26 20:34:57 -0600,27.519341,232260
2013-12-26 20:34:57 -0600,2013-12-26 20:35:24 -0600,27.131389,233900
2013-12-26 20:35:24 -0600,2013-12-26 20:35:52 -0600,27.629794,237348
2013-12-26 20:35:52 -0600,2013-12-26 20:36:19 -0600,27.469583,231728
2013-12-26 20:36:19 -0600,2013-12-26 20:36:47 -0600,27.769879,233816
2013-12-26 20:36:47 -0600,2013-12-26 20:37:14 -0600,27.235331,233212
2013-12-26 20:37:14 -0600,2013-12-26 20:37:42 -0600,27.556407,234280
2013-12-26 20:37:42 -0600,2013-12-26 20:38:09 -0600,26.975988,236212
2013-12-26 20:38:09 -0600,2013-12-26 20:38:36 -0600,27.077288,236212
2013-12-26 20:38:36 -0600,2013-12-26 20:39:03 -0600,27.506725,236212
2013-12-26 20:39:03 -0600,2013-12-26 20:39:31 -0600,27.156445,236212
2013-12-26 20:39:31 -0600,2013-12-26 20:39:57 -0600,26.670826,235944
2013-12-26 20:39:57 -0600,2013-12-26 20:40:25 -0600,27.796458,235264
2013-12-26 20:40:25 -0600,2013-12-26 20:40:52 -0600,26.72043,235916
2013-12-26 20:40:52 -0600,2013-12-26 20:41:18 -0600,26.272091,236212
2013-12-26 20:41:18 -0600,2013-12-26 20:41:45 -0600,27.045349,237236
2013-12-26 20:41:45 -0600,2013-12-26 20:42:13 -0600,27.365321,240908
2013-12-26 20:42:13 -0600,2013-12-26 20:42:40 -0600,27.941468,241140
2013-12-26 20:42:41 -0600,2013-12-26 20:43:07 -0600,26.945941,243436
2013-12-26 20:43:07 -0600,2013-12-26 20:43:35 -0600,27.472077,244476
2013-12-26 20:43:35 -0600,2013-12-26 20:44:03 -0600,27.829984,244696
2013-12-26 20:44:03 -0600,2013-12-26 20:44:30 -0600,27.591045,245760
2013-12-26 20:44:30 -0600,2013-12-26 20:44:57 -0600,26.764863,245764
2013-12-26 20:44:57 -0600,2013-12-26 20:45:24 -0600,26.929006,245764
2013-12-26 20:45:24 -0600,2013-12-26 20:45:51 -0600,26.75697,245852
2013-12-26 20:45:51 -0600,2013-12-26 20:46:18 -0600,26.886724,245832
2013-12-26 20:46:18 -0600,2013-12-26 20:46:46 -0600,28.611014,245832
2013-12-26 20:46:46 -0600,2013-12-26 20:47:14 -0600,27.189179,245864
2013-12-26 20:47:14 -0600,2013-12-26 20:47:40 -0600,26.842798,248044
2013-12-26 20:47:40 -0600,2013-12-26 20:48:07 -0600,26.934278,248748
2013-12-26 20:48:07 -0600,2013-12-26 20:48:34 -0600,26.90176,250388
2013-12-26 20:48:34 -0600,2013-12-26 20:49:06 -0600,32.099302,249504
2013-12-26 20:49:06 -0600,2013-12-26 20:49:33 -0600,26.747363,251708
2013-12-26 20:49:33 -0600,2013-12-26 20:49:59 -0600,26.096288,253600
2013-12-26 20:49:59 -0600,2013-12-26 20:50:26 -0600,26.933135,252688
2013-12-26 20:50:26 -0600,2013-12-26 20:50:52 -0600,25.904646,254208
2013-12-26 20:50:52 -0600,2013-12-26 20:51:20 -0600,28.183628,254624
2013-12-26 20:51:20 -0600,2013-12-26 20:51:49 -0600,28.271814,254724
2013-12-26 20:51:49 -0600,2013-12-26 20:52:15 -0600,26.679434,246432
2013-12-26 20:52:15 -0600,2013-12-26 20:52:45 -0600,29.691637,246632
2013-12-26 20:52:45 -0600,2013-12-26 20:53:13 -0600,27.962676,247752
2013-12-26 20:53:13 -0600,2013-12-26 20:53:39 -0600,26.339176,248708
2013-12-26 20:53:39 -0600,2013-12-26 20:54:06 -0600,26.797227,253768
2013-12-26 20:54:06 -0600,2013-12-26 20:54:33 -0600,27.009761,255016
2013-12-26 20:54:33 -0600,2013-12-26 20:55:01 -0600,28.298947,254960
2013-12-26 20:55:01 -0600,2013-12-26 20:55:28 -0600,26.472397,248384
2013-12-26 20:55:28 -0600,2013-12-26 20:55:56 -0600,27.871711,248496
2013-12-26 20:55:56 -0600,2013-12-26 20:56:22 -0600,26.532561,249392
2013-12-26 20:56:22 -0600,2013-12-26 20:56:48 -0600,25.618414,251180
2013-12-26 20:56:48 -0600,2013-12-26 20:57:16 -0600,27.926248,250924
2013-12-26 20:57:16 -0600,2013-12-26 20:57:42 -0600,26.694785,251580
2013-12-26 20:57:43 -0600,2013-12-26 20:58:08 -0600,25.966643,252604
2013-12-26 20:58:08 -0600,2013-12-26 20:58:36 -0600,27.376709,253324
2013-12-26 20:58:36 -0600,2013-12-26 20:59:02 -0600,26.144185,258876
2013-12-26 20:59:02 -0600,2013-12-26 20:59:28 -0600,26.369956,259284
2013-12-26 20:59:28 -0600,2013-12-26 20:59:55 -0600,26.226254,261480
2013-12-26 20:59:55 -0600,2013-12-26 21:00:21 -0600,26.715907,261796
2013-12-26 21:00:21 -0600,2013-12-26 21:00:50 -0600,28.747243,262820
2013-12-26 21:00:50 -0600,2013-12-26 21:01:16 -0600,26.372953,262828
2013-12-26 21:01:16 -0600,2013-12-26 21:01:43 -0600,26.635779,262828
2013-12-26 21:01:43 -0600,2013-12-26 21:02:09 -0600,26.18263,254652
2013-12-26 21:02:09 -0600,2013-12-26 21:02:36 -0600,26.267477,254840
2013-12-26 21:02:36 -0600,2013-12-26 21:03:02 -0600,26.829051,255692
2013-12-26 21:03:02 -0600,2013-12-26 21:03:28 -0600,25.947752,259736
2013-12-26 21:03:28 -0600,2013-12-26 21:03:55 -0600,26.280721,262756
2013-12-26 21:03:55 -0600,2013-12-26 21:04:21 -0600,26.075567,263584
2013-12-26 21:04:21 -0600,2013-12-26 21:04:47 -0600,26.42755,263904
2013-12-26 21:04:47 -0600,2013-12-26 21:05:14 -0600,26.325888,264252
2013-12-26 21:05:14 -0600,2013-12-26 21:05:40 -0600,26.34274,264816
2013-12-26 21:05:40 -0600,2013-12-26 21:06:08 -0600,28.199967,265640
2013-12-26 21:06:08 -0600,2013-12-26 21:06:34 -0600,26.397957,264788
2013-12-26 21:06:34 -0600,2013-12-26 21:07:01 -0600,26.955771,266204
2013-12-26 21:07:01 -0600,2013-12-26 21:07:31 -0600,29.465726,266844
2013-12-26 21:07:31 -0600,2013-12-26 21:07:57 -0600,26.2644,266968
2013-12-26 21:07:57 -0600,2013-12-26 21:08:23 -0600,25.976833,267876
2013-12-26 21:08:23 -0600,2013-12-26 21:08:49 -0600,26.268359,268900
2013-12-26 21:08:49 -0600,2013-12-26 21:09:18 -0600,28.425985,270036
2013-12-26 21:09:18 -0600,2013-12-26 21:09:44 -0600,26.072383,270036
2013-12-26 21:09:44 -0600,2013-12-26 21:10:11 -0600,26.545883,269012
2013-12-26 21:10:11 -0600,2013-12-26 21:10:37 -0600,26.187342,268836
2013-12-26 21:10:37 -0600,2013-12-26 21:11:03 -0600,26.199425,261228
2013-12-26 21:11:03 -0600,2013-12-26 21:11:29 -0600,26.542973,265812
2013-12-26 21:11:29 -0600,2013-12-26 21:11:56 -0600,26.564073,268648
2013-12-26 21:11:56 -0600,2013-12-26 21:12:22 -0600,26.392545,270304
2013-12-26 21:12:22 -0600,2013-12-26 21:12:48 -0600,26.062731,272148
2013-12-26 21:12:49 -0600,2013-12-26 21:13:15 -0600,26.683381,272120
2013-12-26 21:13:15 -0600,2013-12-26 21:13:41 -0600,26.113527,273736
2013-12-26 21:13:41 -0600,2013-12-26 21:14:08 -0600,26.490355,274780
2013-12-26 21:14:08 -0600,2013-12-26 21:14:34 -0600,26.364848,274136
2013-12-26 21:14:34 -0600,2013-12-26 21:15:01 -0600,26.626657,274320
2013-12-26 21:15:01 -0600,2013-12-26 21:15:27 -0600,26.499935,275168
2013-12-26 21:15:27 -0600,2013-12-26 21:15:53 -0600,26.08699,275168
2013-12-26 21:15:53 -0600,2013-12-26 21:16:20 -0600,26.258256,266976
2013-12-26 21:16:20 -0600,2013-12-26 21:16:46 -0600,25.844086,267000
2013-12-26 21:16:46 -0600,2013-12-26 21:17:12 -0600,26.534636,269944
2013-12-26 21:17:12 -0600,2013-12-26 21:17:38 -0600,26.199072,273820
2013-12-26 21:17:38 -0600,2013-12-26 21:18:05 -0600,26.379257,275816
2013-12-26 21:18:05 -0600,2013-12-26 21:18:31 -0600,26.205978,275180
2013-12-26 21:18:31 -0600,2013-12-26 21:18:58 -0600,26.835434,275320
2013-12-26 21:18:58 -0600,2013-12-26 21:19:25 -0600,27.320933,277492
2013-12-26 21:19:25 -0600,2013-12-26 21:19:51 -0600,26.120316,278548
2013-12-26 21:19:51 -0600,2013-12-26 21:20:17 -0600,25.668298,279232
2013-12-26 21:20:17 -0600,2013-12-26 21:20:43 -0600,25.929867,262888
2013-12-26 21:20:43 -0600,2013-12-26 21:21:09 -0600,25.932872,266260
2013-12-26 21:21:09 -0600,2013-12-26 21:21:34 -0600,25.687624,267328
2013-12-26 21:21:34 -0600,2013-12-26 21:22:00 -0600,25.711703,267336
2013-12-26 21:22:00 -0600,2013-12-26 21:22:26 -0600,26.128363,270124
2013-12-26 21:22:26 -0600,2013-12-26 21:22:52 -0600,25.888377,271260
2013-12-26 21:22:52 -0600,2013-12-26 21:23:18 -0600,26.21177,271392
2013-12-26 21:23:18 -0600,2013-12-26 21:23:44 -0600,25.541296,271892
2013-12-26 21:23:44 -0600,2013-12-26 21:24:10 -0600,26.521918,272048
2013-12-26 21:24:10 -0600,2013-12-26 21:24:37 -0600,26.483976,271936
2013-12-26 21:24:37 -0600,2013-12-26 21:25:03 -0600,25.923947,272044
2013-12-26 21:25:03 -0600,2013-12-26 21:25:29 -0600,26.132269,272080
2013-12-26 21:25:29 -0600,2013-12-26 21:25:55 -0600,25.945251,273864
2013-12-26 21:25:55 -0600,2013-12-26 21:26:21 -0600,25.881069,275940
2013-12-26 21:26:21 -0600,2013-12-26 21:26:47 -0600,26.081724,277908
2013-12-26 21:26:47 -0600,2013-12-26 21:27:13 -0600,25.961157,279796
