started_at,finished_at,seconds,memory
2013-12-25 23:20:47 -0600,2013-12-25 23:21:14 -0600,27.604088,54724
2013-12-25 23:21:14 -0600,2013-12-25 23:21:43 -0600,28.063405,57692
2013-12-25 23:21:43 -0600,2013-12-25 23:22:11 -0600,28.66168,61472
2013-12-25 23:22:11 -0600,2013-12-25 23:22:41 -0600,29.381374,62340
2013-12-25 23:22:41 -0600,2013-12-25 23:23:09 -0600,28.243295,65324
2013-12-25 23:23:09 -0600,2013-12-25 23:23:37 -0600,27.792854,67828
2013-12-25 23:23:37 -0600,2013-12-25 23:24:04 -0600,27.512966,69124
2013-12-25 23:24:04 -0600,2013-12-25 23:24:31 -0600,26.391964,69244
2013-12-25 23:24:31 -0600,2013-12-25 23:24:57 -0600,26.279489,69332
2013-12-25 23:24:57 -0600,2013-12-25 23:25:23 -0600,26.594499,69348
2013-12-25 23:25:23 -0600,2013-12-25 23:25:51 -0600,27.707384,69348
2013-12-25 23:25:51 -0600,2013-12-25 23:26:18 -0600,26.543709,69348
2013-12-25 23:26:18 -0600,2013-12-25 23:26:44 -0600,26.41191,69348
2013-12-25 23:26:44 -0600,2013-12-25 23:27:10 -0600,26.232951,69348
2013-12-25 23:27:10 -0600,2013-12-25 23:27:37 -0600,26.748337,69348
2013-12-25 23:27:37 -0600,2013-12-25 23:28:05 -0600,27.652565,69348
2013-12-25 23:28:05 -0600,2013-12-25 23:28:31 -0600,26.319737,69348
2013-12-25 23:28:31 -0600,2013-12-25 23:28:58 -0600,26.463513,69348
2013-12-25 23:28:58 -0600,2013-12-25 23:29:24 -0600,26.333396,69348
2013-12-25 23:29:24 -0600,2013-12-25 23:29:51 -0600,27.536963,69348
2013-12-25 23:29:51 -0600,2013-12-25 23:30:18 -0600,26.308468,69348
2013-12-25 23:30:18 -0600,2013-12-25 23:30:44 -0600,26.432637,69404
2013-12-25 23:30:44 -0600,2013-12-25 23:31:11 -0600,26.357708,69404
2013-12-25 23:31:11 -0600,2013-12-25 23:31:38 -0600,27.66434,69404
2013-12-25 23:31:38 -0600,2013-12-25 23:32:04 -0600,26.30141,69404
2013-12-25 23:32:04 -0600,2013-12-25 23:32:31 -0600,26.304497,69424
2013-12-25 23:32:31 -0600,2013-12-25 23:32:57 -0600,26.51818,69424
2013-12-25 23:32:57 -0600,2013-12-25 23:33:24 -0600,26.52447,69424
2013-12-25 23:33:24 -0600,2013-12-25 23:33:51 -0600,27.631706,69424
2013-12-25 23:33:51 -0600,2013-12-25 23:34:18 -0600,26.318434,69424
2013-12-25 23:34:18 -0600,2013-12-25 23:34:44 -0600,26.426725,69460
2013-12-25 23:34:44 -0600,2013-12-25 23:35:11 -0600,26.357636,69540
2013-12-25 23:35:11 -0600,2013-12-25 23:35:38 -0600,27.678516,69556
2013-12-25 23:35:38 -0600,2013-12-25 23:36:05 -0600,26.368483,69604
